x,y,z,x_1,y_1,x_2,y_2
8.5,0.3,11,641,1910,924,1594
7.7,4,11,1087,1993,1146,1720
8,10.75,11,1889,1972,1607,1831
8.5,15,11,2394,1906,1958,1883
7.5,20.4,11,3004,2004,2459,2117
6,0.6,11,718,2164,961,1772
6,7,11,1484,2164,1366,1917
6,15.25,11,2380,2178,1954,2106
6.25,17.25,11,2593,2147,2119,2147
5.25,21.7,11,3105,2251,2563,2389
3.2,5.5,11,1296,2457,1273,2091
2.2,6.9,11,1463,2495,1360,2150
3,14.8,11,2321,2481,1918,2351
3.5,19.2,11,2801,2420,2304,2453
2.8,21.5,11,3053,2490,2532,2604
0.8,0.3,11,780,2660,1013,2136
1.3,4.4,11,1197,2621,1222,2197
1,11.25,11,1925,2635,1661,2383
0.9,14.75,11,2342,2632,1947,2504
2,17.75,11,2641,2553,2173,2526
0.6,22,11,3090,2665,2585,2789
8.5,22.5,11,3264,1877,2726,2091
9,0.25,10.75,666,1862,945,1562
9,3,10.75,962,1857,1090,1596
9,2,9,920,1758,1150,1528
9,5.5,9.5,1296,1772,1337,1589
9,7.5,7.75,1526,1685,1542,1552
9,9.75,9.75,1768,1777,1603,1668
9,19.25,5.75,2712,1618,2547,1712
9,21.75,4.5,2905,1572,2830,1717
9,20.75,2.25,2782,1506,2794,1629
9,21.75,0.5,2799,1465,2907,1587
9,0.5,5.75,876,1641,1239,1437
9,16,9.75,2475,1781,2100,1800
9,18.75,9.75,2762,1796,2347,1869
9,21.25,9.75,3045,1795,2611,1949
