picture_id,point_id,x,y,z
1,1,8.5,0.3,11
1,2,7.7,4,11
1,3,8,10.75,11
1,4,8.5,15,11
1,5,7.5,20.4,11
1,6,6,0.6,11
1,7,6,7,11
1,8,6,15.25,11
1,9,6.25,17.25,11
1,10,5.25,21.7,11
1,11,3.4,5.5,11
1,12,3.2,5.5,11
1,13,2.2,6.9,11
1,14,3,14.8,11
1,15,3.5,19.2,11
1,16,2.8,21.5,11
1,17,0.8,0.3,11
1,18,1.3,4.4,11
1,19,1,11.25,11
1,20,0.9,14.75,11
1,21,2,17.75,11
1,22,0.6,22,11
1,23,8.5,22.5,11
2,1,9,2,1.25
2,2,9,5.25,0.75
2,3,9,11,2.75
2,4,9,12.5,1.25
2,5,9,17.5,1.75
2,6,9,20.75,2.25
2,7,9,21.75,0.5
2,8,9,0.5,5.75
2,9,9,3.75,5.75
2,10,9,19.25,5.75
2,11,9,21.75,4.5
2,12,9,2,9
2,13,9,5.5,9.5
2,14,9,7.5,7.75
2,15,9,9.75,9.75
2,16,9,16,9.75
2,17,9,18.75,9.75
2,18,9,21.25,9.75
2,19,9,0.25,10.75
2,20,9,3,10.75
2,21,9,22.5,11
2,22,9,0,0
2,23,9,22.5,0
3,1,9,0,0
3,2,8.4,0,9.75
3,3,9,0,11
3,4,7,0,1
3,5,6.85,0,4.5
3,6,6.75,0,9.3
3,7,5.4,0,6.4
3,8,5,0,9.4
3,9,3.5,0,2.4
3,10,3.1,0,7.2
3,11,2,0,9.5
3,12,1,0,0.6
3,13,1.5,0,2.8
3,14,0.5,0,5
3,15,0,0,11
4,1,9,23,11
4,2,7.8,23,8
4,3,7.25,23,6.4
4,4,7.8,23,1.5
4,5,9,23,0
4,6,4.5,23,10
4,7,4.4,23,6.8
4,8,4.6,23,4.5
4,9,5.9,23,2.6
4,10,4.3,23,2.2
4,11,0,23,11
4,12,0.8,23,9.5
4,13,0.6,23,6.2
4,14,2.2,23,5.1
4,15,2,23,1.6
4,16,0,23,0
