x,y,z
-1.4163392,31.90585,3.2509003
7.9680448,4.196582,10.963188
8.892636,5.350997,10.364552
8.781668,-0.79838103,7.0183077
-0.26469302,9.809976,10.691307
2.520742,7.8370457,10.797564
8.331503,3.4361894,11.026845
-0.94733584,36.807106,3.4881713
7.148333,22.146736,10.885918
3.073855,15.024291,10.76303
8.886978,20.949574,10.600931
-0.69683707,14.973496,10.350499
7.917751,20.630785,11.0414095
5.042743,10.874054,10.925299
7.8167925,9.09102,10.918301
5.9508576,23.073812,10.477882
8.903952,3.1201239,10.461801
-0.30831584,13.249582,12.393917
2.6390326,7.126429,10.827509
-1.0817568,32.774498,3.279138
1.1835734,9.888444,10.693822
0.3157427,22.392355,10.311364
6.8932476,16.395115,10.99427
3.1754606,6.671455,10.904777
2.2044122,12.39264,10.681209
7.9911733,20.316654,11.038313
5.1408143,7.7543383,10.871923
6.3363137,2.2224867,11.09432
2.7821414,14.35297,10.716648
10.213985,22.468597,-0.11217409
8.809217,-0.24427105,6.9736037
3.4187322,10.134654,10.877581
4.983497,12.874413,10.914992
0.24705884,10.670797,12.838363
5.3902907,7.4875555,10.885452
5.425378,21.608316,10.818255
9.390616,20.25823,5.593885
-1.0657188,32.004364,2.6064978
7.98813,16.650496,11.079251
-1.4364924,29.651356,7.7917233
0.882722,-3.8982015,10.5397835
0.72015184,5.883124,10.938353
-1.4608625,29.321117,4.50511
3.4541702,7.4271345,10.8963585
0.8484286,-1.4451178,11.996405
9.189444,15.65092,8.651163
5.5310636,7.1042004,10.969401
9.481983,19.190964,6.4925294
3.7138813,6.712066,10.854881
0.90159684,18.042118,10.441262
-0.5890898,12.062762,11.069262
3.9470093,2.961631,11.005059
-1.3941735,32.62897,-0.6330672
2.2064297,1.3930203,11.127528
8.933519,20.552618,10.3665905
0.6400104,16.82595,10.486876
9.429029,22.020355,6.3310184
1.346303,13.612511,10.667193
2.4827285,9.02744,10.766447
1.9988266,23.253328,10.265063
8.336373,17.032454,11.04625
6.1405845,6.7092285,10.947207
6.792616,8.977768,11.086758
1.4427636,14.251899,10.590465
7.693313,20.018839,11.034724
-1.3353194,33.75171,5.0562434
8.785708,19.044592,11.086451
8.626432,5.9350977,11.128516
-1.5290251,32.839245,3.4408455
8.943437,20.301285,10.037093
-0.40627313,15.350291,12.730052
9.091508,9.273448,8.795858
5.396717,22.60138,10.670315
8.294413,19.862175,11.052604
8.989736,19.644743,10.052861
9.149118,6.9187775,7.582859
-0.7466908,12.325003,10.69712
9.259593,14.291542,8.724225
8.91753,22.046757,10.337703
0.7077237,-0.6245137,12.342705
0.94475347,0.15111881,12.715157
2.5439093,22.139639,10.515588
0.46286803,9.46593,10.643821
8.99975,16.664528,9.5039835
8.917628,19.197147,10.57728
6.751004,19.657541,10.971833
8.876767,0.61090845,9.507944
7.00884,16.829275,10.999964
-1.2605534,-11.707709,5.783469
6.473583,16.307816,10.935045
-0.14082573,13.089308,12.783996
7.3699646,16.54823,11.035089
9.362775,12.348666,7.967701
-0.019774856,1.5944469,10.917359
8.32375,18.991428,11.105299
1.3042687,16.941341,10.563852
9.739635,20.94419,3.0361068
2.1878638,14.573872,10.682127
9.153445,2.6968286,6.5520673
-0.8994737,16.48486,10.64284
8.975968,9.55964,10.059674
-0.68788856,-9.727992,7.2829747
0.43462446,-5.3624353,8.895194
8.899858,4.861344,9.58385
3.2387114,1.2317615,10.883823
8.655765,21.46041,11.055155
9.355788,21.59195,9.931352
8.043365,9.868695,10.932063
0.7596119,7.524919,10.780093
8.284612,4.6771927,11.013371
2.4882135,8.456833,10.813883
9.2569065,9.665803,8.364115
0.19228704,15.279533,10.526829
4.953827,22.200361,10.728935
-1.2356813,39.845158,-7.137121
8.842707,16.18714,11.038317
5.960557,10.90045,10.94101
5.342437,20.841248,10.808557
0.3428644,11.384997,10.590614
8.829263,14.891239,10.845811
8.754704,12.36974,10.983152
9.324868,20.70195,7.123419
8.759999,16.60054,11.018172
-0.6662931,16.023176,10.920924
8.273134,10.943634,10.956816
2.2872286,18.907331,10.590911
2.3752835,9.443484,10.653434
-0.4917976,12.5049,11.718161
2.0082736,13.99147,10.671655
6.592803,18.989656,10.95981
9.597456,14.613215,7.921298
2.9722729,17.936089,10.720021
0.34405383,0.22161473,12.046548
8.882921,8.857295,10.850578
2.0398786,17.716814,10.644319
4.5290747,13.953028,10.908965
-0.050919723,2.982222,10.902148
0.64912397,0.8842006,10.951386
8.22724,18.318354,11.055244
7.0916977,11.773062,10.913469
8.765194,13.532686,11.011942
0.8587492,13.904075,10.585785
-46.02519,-185.26408,-162.28998
0.24063079,-1.2001923,11.044962
2.6439095,6.349922,10.872521
3.0212245,14.66482,10.748426
-0.8072505,15.562393,10.592053
8.786498,14.067843,10.983444
-24.93217,-110.97691,-76.14408
7.9247475,7.698236,10.972956
1.6287653,4.433993,10.914671
-1.0753115,22.434462,10.585557
5.270838,4.582534,10.916723
9.229426,5.97085,6.517941
5.0584,22.919611,10.65406
0.75450563,4.0801773,10.912982
3.0684795,18.856981,10.691234
8.3457155,15.368567,10.982092
8.794065,21.866789,11.120046
8.759051,20.037447,11.111919
6.185315,22.514616,10.773641
-0.58789295,21.613932,11.939327
10.028382,19.074945,6.1784816
7.467471,20.731388,11.0366335
-1.3310529,30.875134,3.1040895
16.033085,10.078278,7.225512
1.9248405,22.629562,10.421717
6.9617248,12.357539,10.953879
2.9446795,18.445494,10.643997
3.306546,2.772713,11.020876
11.231237,5.118257,6.728541
8.745525,20.622095,11.086694
5.1798644,8.39825,10.930084
1.0577004,-1.4531192,12.354126
0.87118626,0.9765265,13.113123
9.330725,6.9580793,6.8293624
9.202239,13.82952,8.786245
7.108419,3.9880826,10.888676
-1.4533492,32.865326,6.451748
7.738966,21.845915,10.993529
-0.6917883,15.401758,10.358889
7.7187514,9.612285,11.013731
9.049995,6.166722,8.779931
1.0036939,10.1550665,10.737877
9.058995,18.552189,9.267198
4.392992,20.62245,10.787168
5.948318,1.8074561,11.137843
-1.364256,28.510672,8.64413
0.6920333,14.564617,10.517442
7.8555727,18.39588,11.04944
8.766661,12.967164,11.011875
6.6666617,11.610511,10.90288
3.6519384,11.634624,10.870836
-0.5297529,13.513685,10.48711
5.305139,12.267827,10.803157
-1.2938129,42.751053,-18.054205
3.3263712,8.134616,10.75362
0.5918538,10.249702,13.50057
0.31239375,-7.18337,10.179747
18.346462,11.469634,5.080416
-0.38222522,11.439209,11.2788725
7.248239,20.415693,10.980663
5.5871983,5.331743,10.924474
8.809448,11.306652,11.016975
9.94314,21.116205,1.8488028
7.5176597,8.308908,11.04313
14.018034,14.908973,3.989739
1.162059,-2.3050325,11.748243
-0.45757893,11.739682,11.407595
-0.871143,19.310371,10.233373
8.330324,7.379782,10.9763365
1.9807115,13.176471,10.681668
2.0809362,0.55873126,11.164474
2.6528988,12.197359,10.79225
8.9910755,21.205967,9.88152
8.145912,0.43908557,11.207071
8.947738,15.434463,10.788861
8.742496,3.1180372,10.981314
-0.20534557,12.562364,12.401709
0.5668907,20.833967,10.3164835
5.189772,21.318352,10.823598
0.67129254,8.439564,13.364663
3.3073652,12.144072,10.813523
8.747486,0.5361626,10.901312
-0.54353213,15.011968,12.39346
1.1375166,-3.172288,11.208874
7.2110963,30.028353,74.19668
1.64491,22.156315,10.452492
8.868268,0.12803243,6.7643547
7.574706,12.372718,10.972833
8.710162,5.3575115,10.9257765
9.197052,16.171545,8.563634
7.8730903,12.668959,10.9074745
14.348917,10.801647,7.3454247
8.263724,1.9174577,11.026728
-0.5378731,13.0312395,11.04378
9.235196,18.309923,7.623092
419.133,1747.2775,1603.4375
-1.2757131,35.056835,1.7953254
0.30881175,0.86921096,11.916242
-1.0371869,29.974367,2.5411768
0.8394206,23.512531,9.961093
0.57073987,9.02736,10.699205
-0.15900007,22.21529,10.259046
0.7040817,8.872926,13.085829
3.9363916,13.020736,10.876138
0.91741675,-1.3059069,12.745128
9.204252,23.226007,7.169017
3.6066918,2.4227242,11.032249
11.014465,17.877527,5.9323735
0.22938459,-6.7729197,9.366477
8.495216,34.760258,76.47625
-0.94976676,22.443007,10.935216
1.47543,9.530167,10.761417
3.8244603,14.173537,10.849954
-0.6358858,13.864268,10.96707
8.886584,9.626581,10.862771
7.6268826,11.829216,10.928848
-26.034834,-112.42427,-80.24626
10.331352,18.731598,5.9397964
-0.5171505,11.831188,10.892401
6.6179748,22.71703,10.840474
0.26525232,11.010068,12.951264
6.5774837,0.67319363,11.045954
1.6478095,12.52004,10.694542
-1.177275,36.477314,1.8503121
8.966916,0.09254519,5.107882
6.999972,11.230447,10.946642
15.077181,8.926719,7.251022
-0.2648357,14.003236,12.69724
0.40457246,4.246902,10.627715
6.2195263,18.677313,10.978289
-0.43670267,12.890888,10.564906
4.0828686,14.444343,10.865308
6.026637,4.118628,11.101773
4.8420944,11.927248,10.826167
2.786421,4.982366,10.924303
-1.3395431,26.138985,8.391731
3.9284842,33.664726,70.69654
8.910799,-2.188159,3.2627425
0.6223479,10.306014,13.034609
8.854718,8.511119,10.379538
-1.4901175,30.889975,3.7149546
0.11437692,2.4692647,11.004949
4.9368396,13.549338,10.857707
-1.2985382,31.492722,4.9382567
9.394057,20.360552,6.215
20.189117,7.349244,4.7752843
11.2084255,6.4927053,6.6229806
8.81738,11.870293,11.037049
0.39044943,6.3907294,10.760112
8.786678,-1.7720952,4.3783627
15.08439,11.907105,6.9137597
0.44720414,9.343157,13.352667
5.555387,14.944604,10.952168
-1.3087721,40.693546,-5.6587915
7.658979,33.88724,77.72695
-0.9112919,24.395754,10.371525
-1.33718,31.58464,4.4506664
9.158333,14.102457,9.397989
9.033382,16.262718,10.049302
0.14395715,2.65254,11.422384
-0.7339277,16.90843,11.706167
1.1509068,19.572191,10.385614
8.5240345,-1.5309682,8.044334
8.997388,20.342205,9.5155115
1.3709561,0.34895423,13.99663
-0.6504286,14.531684,10.4303055
15.42616,8.559505,6.9359293
-114.69992,-449.90942,-446.8516
9.942408,20.097645,1.351765
0.13232243,9.10613,11.806594
6.0964146,0.8910184,11.011004
-1.3910602,30.48165,7.623472
0.4438909,8.925676,12.652826
5.88448,22.156252,10.853388
1.4145783,3.8824787,10.998234
21.563198,7.2969003,4.618957
15.9646845,10.685089,7.1205006
0.115172915,1.1004987,11.033151
-0.19549891,10.517427,11.542391
1.6461847,38.761414,66.86159
0.07842084,14.765049,10.415422
-0.31389433,10.997502,11.669203
4.813252,14.926576,10.918282
0.00082932366,-5.690824,7.378046
8.9859495,16.736137,10.381378
8.951118,8.969483,10.261419
-0.8864383,21.216618,10.236861
1.2425683,11.934051,10.637718
7.3451896,10.352011,11.015596
9.15374,12.118051,8.6505
-1.4716067,30.557297,6.2224493
-1.4555055,30.451479,6.9185863
14.890637,11.13803,7.2763066
-0.8268426,22.445776,11.461141
3.5843236,5.3272085,11.030301
0.2855273,-6.5328875,7.516024
8.77489,0.3366541,10.157001
1.7050338,21.607164,10.463941
6.0151563,14.814262,10.935236
-1.1779987,33.123524,1.7299087
2.762658,13.769788,10.689949
0.98336905,11.490212,10.64251
0.5695287,9.949585,13.208705
4.925066,6.9704123,10.950757
8.269649,21.130682,11.083636
7.9316816,16.936008,11.044219
0.59639186,1.3439317,12.770425
-0.7059021,15.803571,10.307306
4.423168,2.5355935,11.140721
5.576534,21.203644,10.8026085
8.7901945,10.886012,11.125861
21.323658,33.696747,69.14647
8.593134,14.617336,10.96124
5.8178253,7.5686812,10.878614
8.79205,1.9229096,10.203938
-1.2369735,35.68568,5.189366
9.111461,17.753746,9.295726
19.778273,9.176764,4.362443
0.98253936,15.22791,10.541714
0.0772141,5.959709,11.394572
13.520806,11.9128065,7.2986307
4.803701,3.048887,11.021741
9.105718,12.051143,9.741929
-0.77017623,21.220911,11.384145
6.721681,2.5050867,11.108041
3.4411263,18.910557,10.730267
1.4096826,17.455193,10.58459
7.4114137,3.6169567,11.020822
9.421848,13.126419,7.519431
4.5755644,19.654097,10.803402
8.244928,13.152054,11.058372
5.923379,17.330454,10.933654
0.07436981,18.421286,10.35672
9.887234,24.019386,2.083767
1.287831,-1.7565017,12.479339
2.8631082,23.354794,10.134912
7.3960705,20.022251,11.03835
12.761569,8.658393,6.752232
8.864028,22.33842,10.388751
8.545473,22.37034,10.982878
-1.0127157,31.229004,2.934153
0.4917288,15.692575,10.466132
0.60707587,-3.709888,9.866184
